"Título do vídeo;Editor;Dispositivo de impressão;Data de publicação;Alcance;Valor Gasto (BRL);Click-to-Play;Visualizações 10 segundos;Visualizações de 25% do vídeo;Visualizações de 50% do vídeo;Visualizações de 75% do vídeo;Visualizações de 95% do vídeo;Tempo médio assistido do vídeo;Ações;Compartilhamentos da publicação;Comentários na publicação;Envolvimento com a publicação;Reações à publicação"
"Vídeo 48;Luiz;Desktop;43002;46251;52,8313951164928;12206;6333;5834;5197;5029;4316;00:00:13;12490;43;28;12452;121"
"Vídeo 48;Luiz;Tablet Android;43002;1919;3,46681053430844;648;282;257;216;211;179;00:00:15;662;4;1;659;6"
"Vídeo 48;Luiz;Outros;43002;273;0,189825360668185;13;11;11;11;11;11;00:00:37;13;;;13;"
"Vídeo 48;Luiz;iPad;43002;4228;12,6283818886624;1843;739;659;594;571;428;00:00:12;1850;1;1;1850;5"
"Vídeo 18;Osvaldo;iPad;42987;2496;14,3567917515885;1119;286;286;168;131;94;00:00:06;1134;1;;1133;13"
"Vídeo 18;Osvaldo;iPod;42987;0;0,189825360668185;18;8;8;6;5;3;00:00:09;19;;;19;1"
"Vídeo 18;Osvaldo;Desktop;42987;45991;92,1452263917196;12507;4505;4554;3203;2790;2048;00:00:06;12833;34;19;12769;192"
"Vídeo 41;Osvaldo;Smartphone Android;42999;245790;644,044598077807;80710;43946;39052;33541;27158;24317;00:00:10;82849;197;76;82557;1574"
"Vídeo 40;Marcos;iPod;42998;0;0,03996003996004;7;3;3;3;3;2;00:00:18;7;;;7;"
"Vídeo 7;Osvaldo;Tablet Android;42982;768;3,0156455272901;562;277;269;190;142;126;00:00:09;568;3;;568;3"
"Vídeo 7;Osvaldo;Outros;42982;0;0,0895736295234683;2;;;;;;00:00:03;2;;;2;"
"Vídeo 7;Osvaldo;Smartphone Android;42982;354525;697,788526613321;151001;72368;70887;52570;37404;32806;00:00:08;151603;34;32;151509;442"
"Vídeo 7;Osvaldo;iPad;42982;2048;6,71802221426012;1377;674;665;516;365;309;00:00:11;1379;;;1379;2"
"Vídeo 7;Osvaldo;iPod;42982;26;0,0597157530156455;9;3;3;2;2;1;00:00:05;9;;;9;"
"Vídeo 7;Osvaldo;iPhone;42982;108021;238,544528046499;50401;23539;23062;17215;12038;10201;00:00:08;50544;5;9;50522;107"
"Vídeo 7;Osvaldo;Desktop;42982;33635;53,7839882160914;16432;7210;7035;4752;3382;2946;00:00:09;16453;2;3;16448;10"
"Vídeo 1;Osvaldo;Outros;42979;0;0,219053688067548;15;10;10;10;10;10;00:00:29;15;;;15;"
"Vídeo 1;Osvaldo;iPod;42979;0;0,0298709574637566;7;1;1;;;;00:00:06;7;;;7;"
"Vídeo 1;Osvaldo;Tablet Android;42979;2368;9,83750199139716;905;308;224;175;147;130;00:00:07;930;2;4;927;16"
"Vídeo 1;Osvaldo;Smartphone Android;42979;363227;872,431097658117;107811;38248;29286;23214;19532;16782;00:00:07;110035;256;144;109689;1478"
"Vídeo 1;Osvaldo;iPhone;42979;23870;71,0132228771706;7234;2736;2158;1780;1515;1248;00:00:08;7380;13;15;7364;102"
"Vídeo 1;Osvaldo;iPad;42979;384;2,83774095905687;240;90;57;47;38;34;00:00:08;242;;;242;2"
"Vídeo 9;Luiz;Smartphone Android;42983;214960;661,664976234513;83194;28332;21399;17862;14769;10504;00:00:08;84845;227;68;84690;1201"
"Vídeo 2;Marcos;Tablet Android;42979;3456;15,8761698491863;1441;378;383;197;172;150;00:00:05;1468;2;1;1466;22"
"Vídeo 2;Marcos;Smartphone Android;42979;258092;668,796073678145;82588;28467;29038;19350;17308;15807;00:00:05;84262;138;104;83969;1138"
"Vídeo 2;Marcos;Desktop;42979;57148;174,528583066743;22474;5879;6024;3480;2856;2534;00:00:05;22650;15;11;22602;102"
"Vídeo 9;Luiz;iPod;42983;0;0,0994371855299008;14;2;1;1;1;1;00:00:07;14;;;14;"
"Vídeo 9;Luiz;Desktop;42983;71815;212,43760316608;29860;8077;5454;3838;3123;2420;00:00:06;30070;29;5;30035;140"
"Vídeo 9;Luiz;Tablet Android;42983;3441;14,060418033928;1442;438;277;199;161;110;00:00:07;1472;4;1;1472;25"
"Vídeo 9;Luiz;Outros;42983;0;0,278424119483722;7;5;4;3;3;3;00:00:28;7;;;7;"
"Vídeo 9;Luiz;iPad;42983;1920;12,4793667840025;1463;367;253;199;155;108;00:00:08;1475;2;;1474;9"
"Vídeo 9;Luiz;iPhone;42983;31166;98,9797744764632;13052;3965;2970;2542;2071;1336;00:00:08;13252;17;10;13238;159"
"Vídeo 1;Osvaldo;Desktop;42979;21758;43,6315118687271;5752;2084;1656;1336;1167;962;00:00:08;5831;9;10;5813;42"
"Vídeo 3;Luiz;Outros;42980;65;0,139453342895848;8;5;4;3;3;1;00:00:19;9;1;;9;"
"Vídeo 2;Marcos;iPad;42979;1920;9,20976811651797;934;237;240;146;126;114;00:00:07;942;;2;941;5"
"Vídeo 5;Luiz;iPad;42981;1;0;1;1;1;1;1;;00:00:36;1;;;1;"
"Vídeo 4;Marcos;Tablet Android;42980;2792;5,78421578421578;1079;486;359;310;280;264;00:00:13;1110;9;2;1109;19"
"Vídeo 4;Marcos;Desktop;42980;23934;28,3616383616384;7883;3324;2740;2339;2128;2031;00:00:12;8113;50;17;8089;139"
"Vídeo 4;Marcos;Outros;42980;0;1,4985014985015;42;36;15;9;8;7;00:00:23;42;;;42;"
"Vídeo 4;Marcos;iPod;42980;0;0,01998001998002;5;2;2;2;2;2;00:00:20;5;;;5;"
"Vídeo 4;Marcos;Smartphone Android;42980;429784;746,833166833167;151755;64837;50957;43673;39564;37411;00:00:10;156700;1155;284;156260;3065"
"Vídeo 4;Marcos;iPad;42980;2792;5,78421578421578;1069;478;389;335;302;282;00:00:13;1085;4;;1085;12"
"Vídeo 5;Luiz;Desktop;42981;16;0,0998153416180067;7;1;1;1;1;;00:00:05;7;;;7;"
"Vídeo 5;Luiz;iPhone;42981;43;0,14972301242701;9;2;2;1;1;1;00:00:02;9;;;9;"
"Vídeo 6;Luiz;Smartphone Android;42981;310553;816,163836163836;119986;39965;26041;15459;12078;9799;00:00:06;120952;137;54;120803;625"
"Vídeo 5;Luiz;Smartphone Android;42981;169;0,59889204970804;48;23;24;12;9;8;00:00:05;48;;;48;"
"Vídeo 5;Luiz;Desktop;42981;1503;2,91460797524579;502;145;149;90;72;60;00:00:05;503;;;503;1"
"Vídeo 5;Luiz;iPhone;42981;46715;149,543344812098;16622;8671;8738;4980;3659;2993;00:00:07;16722;12;10;16718;74"
"Vídeo 5;Luiz;Smartphone Android;42981;265956;828,886559864251;108591;56452;57281;34134;24896;19968;00:00:07;109462;141;20;109383;631"
"Vídeo 5;Luiz;iPad;42981;448;3,13420172680541;349;156;160;94;69;55;00:00:07;350;;;350;1"
"Vídeo 5;Luiz;iPod;42981;7;0,00998153416180067;4;3;3;1;1;;00:00:12;4;;;4;"
"Vídeo 5;Luiz;Outros;42981;64;8,82367619903179;182;154;157;67;49;42;00:00:16;182;;;182;"
"Vídeo 4;Marcos;iPhone;42980;102774;211,718281718282;38266;17044;13821;12141;11089;10379;00:00:11;38976;128;65;38916;457"
"Vídeo 6;Luiz;Desktop;42981;18448;41,7882117882118;7285;2454;1755;1242;1047;874;00:00:08;7319;3;3;7315;24"
"Vídeo 3;Luiz;iPod;42980;0;0,0996095306398916;9;3;1;;;;00:00:04;9;;;9;"
"Vídeo 8;Marcos;Tablet Android;42982;1856;7,8021978021978;1003;303;232;162;114;95;00:00:06;1021;1;;1019;15"
"Vídeo 3;Luiz;iPad;42980;1600;8,25763009004701;1121;438;339;257;218;168;00:00:10;1133;2;;1133;10"
"Vídeo 3;Luiz;iPhone;42980;81910;320,792493425771;34731;13230;10382;7845;6649;4596;00:00:09;35302;80;10;35296;475"
"Vídeo 3;Luiz;Tablet Android;42980;2096;8,38712247987887;842;321;225;148;129;101;00:00:09;860;4;;858;12"
"Vídeo 3;Luiz;Smartphone Android;42980;191784;624,123436130369;71874;27041;20553;14317;11506;8145;00:00:08;73281;219;34;73227;1100"
"Vídeo 3;Luiz;Desktop;42980;15806;38,2002550003984;7311;2533;1937;1454;1244;1048;00:00:09;7357;11;3;7353;28"
"Vídeo 8;Marcos;iPod;42982;0;0,04995004995005;7;2;1;1;1;1;00:00:06;7;;;7;"
"Vídeo 8;Marcos;iPad;42982;2247;7,92207792207792;1070;276;228;148;106;84;00:00:07;1071;1;;1071;"
"Vídeo 8;Marcos;Desktop;42982;7423;18,1418581418581;3460;928;753;540;435;385;00:00:06;3484;;2;3479;17"
"Vídeo 6;Luiz;iPhone;42981;36639;115,714285714286;13711;4280;2753;1660;1231;926;00:00:06;13793;11;4;13784;58"
"Vídeo 8;Marcos;iPhone;42982;64260;169,330669330669;23361;7317;6302;4503;3279;2630;00:00:06;23564;21;19;23549;148"
"Vídeo 8;Marcos;Outros;42982;256;28,3416583416583;760;664;350;183;154;137;00:00:17;760;;;760;"
"Vídeo 8;Marcos;Smartphone Android;42982;278885;768,411588411588;106877;36707;31428;22249;17009;14327;00:00:06;108204;171;72;108037;917"
"Vídeo 6;Luiz;Tablet Android;42981;1344;5,97402597402597;792;252;162;90;69;56;00:00:07;795;;;794;2"
"Vídeo 6;Luiz;iPod;42981;0;0,0599400599400599;4;2;2;2;2;2;00:00:24;4;;;4;"
"Vídeo 6;Luiz;iPad;42981;832;4,57542457542458;582;157;102;56;41;28;00:00:07;587;1;;587;4"
"Vídeo 6;Luiz;Outros;42981;128;15,7242757242757;410;337;149;91;72;60;00:00:19;410;;;410;"
"Vídeo 2;Marcos;iPod;42979;0;0,129155324179864;14;5;5;3;3;3;00:00:07;15;;;15;1"
"Vídeo 2;Marcos;iPhone;42979;39293;131,251614441552;16340;4871;4965;3230;2840;2533;00:00:06;16584;15;14;16558;189"
"Vídeo 2;Marcos;Outros;42979;64;0,208635523675164;3;2;2;1;1;;00:00:07;3;;;3;"
"Vídeo 5;Luiz;Tablet Android;42981;2119;5,83919748465339;904;428;438;263;184;148;00:00:07;913;1;;913;8"
"Vídeo 60;Marcos;iPod;43008;0;0,0899154794493176;7;3;3;3;2;2;00:00:08;7;;;7;"
"Vídeo 60;Marcos;Tablet Android;43008;1536;6,58381121745559;825;310;307;230;182;140;00:00:07;837;3;;837;9"
"Vídeo 40;Marcos;Smartphone Android;42998;494237;765,084915084915;195005;88257;75866;56991;48942;45422;00:00:10;201771;2292;267;201287;3723"
"Vídeo 19;Marcos;Outros;42988;15;0,00999080845622028;3;3;2;2;2;2;00:01:37;5;;;3;"
"Vídeo 19;Marcos;iPod;42988;12;0,0199816169124406;8;3;1;1;1;1;00:00:16;11;;1;9;"
"Vídeo 19;Marcos;Desktop;42988;17790;39,823362506494;9755;3382;1205;958;805;697;00:00:12;9829;24;8;9814;27"
"Vídeo 19;Marcos;Tablet Android;42988;2816;12,8481796746993;2854;1188;421;310;256;208;00:00:15;2884;7;3;2878;14"
"Vídeo 19;Marcos;Smartphone Android;42988;331291;831,9945650002;179611;74019;29786;23219;18850;15940;00:00:14;182041;764;111;181680;1194"
"Vídeo 19;Marcos;iPad;42988;3157;10,7900731327179;1856;668;205;146;119;100;00:00:12;1864;2;1;1861;2"
"Vídeo 19;Marcos;iPhone;42988;38140;104,51384726052;20735;7620;2926;2244;1771;1488;00:00:12;20945;61;13;20902;93"
"Vídeo 40;Marcos;iPhone;42998;86639;183,976023976024;34147;16421;14527;11054;9670;8823;00:00:10;35072;299;69;35018;503"
"Vídeo 40;Marcos;Desktop;42998;23338;33,1768231768232;9427;3505;2794;2060;1773;1572;00:00:09;9608;64;10;9578;77"
"Vídeo 40;Marcos;iPad;42998;3327;9,88011988011988;1794;776;671;478;411;381;00:00:11;1827;17;1;1826;14"
"Vídeo 40;Marcos;Tablet Android;42998;4095;7,8021978021978;1914;841;715;532;458;422;00:00:12;1988;26;;1982;42"
"Vídeo 40;Marcos;Outros;42998;40;0,03996003996004;2;2;2;2;2;2;00:00:40;2;;;2;"
"Vídeo 60;Marcos;Smartphone Android;43008;334345;864,147701160909;118195;51313;50643;41146;33004;24098;00:00:07;120003;180;66;119829;1388"
"Vídeo 59;Osvaldo;Smartphone Android;43008;243760;664,994904789498;98248;33737;23630;15451;11516;9582;00:00:07;99144;59;43;99035;685"
"Vídeo 31;Luiz;Tablet Android;42994;2470;8,54214123006834;1281;531;372;279;221;200;00:00:11;1297;4;1;1297;11"
"Vídeo 31;Luiz;iPhone;42994;61818;177,137033928786;28818;13476;10124;7837;6082;5085;00:00:11;29046;27;28;29037;164"
"Vídeo 31;Luiz;iPad;42994;3703;14,466690644607;2096;905;684;517;381;345;00:00:13;2106;3;1;2105;5"
"Vídeo 59;Osvaldo;Outros;43008;0;0,0899154794493176;5;2;2;;;;00:00:06;5;;;5;"
"Vídeo 59;Osvaldo;iPod;43008;30;0,0899154794493176;8;5;1;1;1;1;00:00:05;8;;;8;"
"Vídeo 59;Osvaldo;Desktop;43008;34494;123,004375886667;19315;6351;4110;2534;1938;1677;00:00:08;19386;9;3;19375;47"
"Vídeo 59;Osvaldo;iPhone;43008;43581;188,632685275841;22061;6986;4803;3072;2225;1814;00:00:08;22187;15;5;22176;95"
"Vídeo 59;Osvaldo;iPad;43008;1856;9,94065578356345;1285;402;249;135;89;70;00:00:09;1295;3;;1293;5"
"Vídeo 31;Luiz;Smartphone Android;42994;260967;692,972465331895;118350;52130;37122;27897;21197;17851;00:00:10;119733;256;73;119616;937"
"Vídeo 59;Osvaldo;Tablet Android;43008;3379;13,2475473055328;1586;545;369;224;169;143;00:00:08;1606;3;;1606;17"
"Vídeo 44;Luiz;Outros;43000;19;0,0399624353108078;2;1;2;1;1;1;00:00:12;2;;;2;"
"Vídeo 44;Luiz;Desktop;43000;22881;33,4785301816293;10462;3575;3959;2593;2202;1932;00:00:07;10494;3;2;10484;17"
"Vídeo 44;Luiz;iPhone;43000;121848;290,566867144884;47114;23150;24026;18912;14877;11450;00:00:07;47372;19;48;47353;172"
"Vídeo 44;Luiz;Smartphone Android;43000;300268;664,745139568805;121530;56562;59355;45967;37606;31326;00:00:07;122424;72;108;122316;606"
"Vídeo 44;Luiz;iPad;43000;1664;6,83357643814814;1060;448;471;325;241;195;00:00:08;1063;;;1063;3"
"Vídeo 44;Luiz;Tablet Android;43000;1733;4,28597118708414;736;300;322;227;175;138;00:00:07;738;;;737;1"
"Vídeo 31;Luiz;Outros;42994;55;0,199816169124406;4;3;2;1;1;1;00:00:17;4;;;4;"
"Vídeo 31;Luiz;iPod;42994;0;0,149862126843304;11;5;3;2;1;1;00:00:08;11;;;11;"
"Vídeo 37;Marcos;Smartphone Android;42997;569887;871,920394828861;230447;86630;65834;44748;32654;26236;00:00:07;234017;653;288;233598;2209"
"Vídeo 31;Luiz;Desktop;42994;36349;106,531990568677;17091;6397;4755;3670;3067;2644;00:00:10;17209;21;11;17201;78"
"Vídeo 30;Osvaldo;Desktop;42993;98294;129,850537505495;38612;19934;17140;14837;13447;9931;00:00:15;39199;158;37;39142;335"
"Vídeo 30;Osvaldo;iPod;42993;0;0,139871318387084;33;17;14;13;9;3;00:00:18;33;;;33;"
"Vídeo 30;Osvaldo;Tablet Android;42993;2176;5,79466890460776;1210;643;551;474;419;288;00:00:15;1226;5;;1225;10"
"Vídeo 30;Osvaldo;Outros;42993;0;0,0899172761059825;7;6;7;6;6;5;00:00:48;7;;;7;"
"Vídeo 30;Osvaldo;Smartphone Android;42993;415701;703,29297046717;183390;96920;86921;77203;69017;47948;00:00:14;187101;938;194;186795;2273"
"Vídeo 30;Osvaldo;iPhone;42993;72697;155,606841705631;35452;18652;16824;15158;13432;8438;00:00:15;35986;123;49;35960;336"
"Vídeo 30;Osvaldo;iPad;42993;2048;5,2251928226032;1023;551;483;410;352;218;00:00:15;1030;;;1029;6"
"Vídeo 44;Luiz;iPod;43000;0;0,0499530441385098;8;4;5;4;4;4;00:00:10;8;;;8;"
"Vídeo 37;Marcos;iPhone;42997;60534;92,0734509561013;21429;7333;5418;3856;2938;2312;00:00:06;21753;57;38;21720;196"
"Vídeo 28;Osvaldo;Smartphone Android;42992;306524;651,947169660519;118824;36171;21270;19515;17135;13003;00:00:10;121270;432;175;121078;1646"
"Vídeo 28;Osvaldo;Outros;42992;0;0,159849741243231;2;;;;;;00:00:03;2;;;2;"
"Vídeo 28;Osvaldo;Tablet Android;42992;2982;7,88259036505685;1336;406;220;191;167;133;00:00:11;1368;13;1;1368;18"
"Vídeo 28;Osvaldo;iPad;42992;3072;9,37119108038444;1617;365;175;151;123;85;00:00:08;1638;6;2;1636;11"
"Vídeo 28;Osvaldo;iPhone;42992;77303;174,146302475673;30656;9360;5613;5182;4394;3295;00:00:10;31217;93;56;31178;373"
"Vídeo 28;Osvaldo;Desktop;42992;64760;156,402981197674;27537;7094;3442;2819;2414;1892;00:00:08;27802;52;23;27764;151"
"Vídeo 28;Osvaldo;iPod;42992;0;0,0899154794493176;13;3;2;1;1;1;00:00:10;13;;;13;"
"Vídeo 60;Marcos;Outros;43008;18;0,0699342617939137;4;1;1;1;1;1;00:00:14;4;;;4;"
"Vídeo 60;Marcos;iPad;43008;1129;5,14516354626651;530;182;181;126;104;74;00:00:07;531;;;531;1"
"Vídeo 60;Marcos;Desktop;43008;6527;12,6680919935261;2136;699;691;498;424;362;00:00:06;2162;;3;2159;20"
"Vídeo 60;Marcos;iPhone;43008;38458;111,2953823406;13888;5602;5502;4548;3633;2546;00:00:07;14056;15;6;14048;139"
"Vídeo 37;Marcos;Desktop;42997;21500;28,9028313385418;8768;3242;2395;1644;1380;1122;00:00:07;8871;21;5;8859;65"
"Vídeo 37;Marcos;Tablet Android;42997;2711;4,37588666653346;1080;439;325;214;160;129;00:00:08;1092;3;;1091;8"
"Vídeo 37;Marcos;iPad;42997;1152;2,63752073051332;495;137;93;61;51;41;00:00:06;501;;;499;4"
"Vídeo 37;Marcos;iPod;42997;0;0,0499530441385098;13;1;1;1;1;1;00:00:07;13;;;13;"
"Vídeo 37;Marcos;Outros;42997;47;0,0399624353108078;6;4;3;3;3;3;00:00:30;7;;;7;1"
"Vídeo 57;Luiz;iPhone;43007;41084;147,673201840115;17813;5389;4858;3086;2523;2138;00:00:06;17994;14;19;17972;126"
"Vídeo 57;Luiz;Tablet Android;43007;2240;15,7949811447413;1418;377;313;146;104;99;00:00:06;1437;5;1;1437;13"
"Vídeo 57;Luiz;iPad;43007;2276;14,0180457659579;1223;268;209;91;64;55;00:00:05;1228;;;1227;4"
"Vídeo 57;Luiz;Smartphone Android;43007;181037;643,981124997532;78961;24978;22275;14193;11549;9867;00:00:06;80108;119;57;79964;827"
"Vídeo 57;Luiz;iPod;43007;0;0,0888467689391696;10;6;4;3;3;1;00:00:10;10;;;10;"
"Vídeo 57;Luiz;Outros;43007;0;0,177693537878339;7;3;2;2;1;1;00:00:08;7;;;7;"
"Vídeo 57;Luiz;Desktop;43007;37820;178,266105944836;18336;4207;3481;1720;1276;1053;00:00:05;18454;18;2;18426;70"
